Filename,Timestamp,UserID,Emotion,Gender,Age
Neutral_Female_(4-6)_2025-05-04_20-09-21.jpg,2025-05-04 20:09:21.223344,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-21.jpg,2025-05-04 20:09:21.776338,user_1,Neutral,Female,(4-6)
Happy_Female_(25-32)_2025-05-04_20-43-29.jpg,2025-05-04 20:43:29.976225,user_1,Happy,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-43-30.jpg,2025-05-04 20:43:30.200407,user_1,Neutral,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-30.jpg,2025-05-04 20:43:30.396177,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-30.jpg,2025-05-04 20:43:30.606505,user_1,Angry,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-43-30.jpg,2025-05-04 20:43:30.822970,user_1,Neutral,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-31.jpg,2025-05-04 20:43:31.020537,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-31.jpg,2025-05-04 20:43:31.233367,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-31.jpg,2025-05-04 20:43:31.424041,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-31.jpg,2025-05-04 20:43:31.632583,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-31.jpg,2025-05-04 20:43:31.880834,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-32.jpg,2025-05-04 20:43:32.143815,user_1,Angry,Female,(25-32)
Neutral_Male_(25-32)_2025-05-04_20-43-32.jpg,2025-05-04 20:43:32.366736,user_1,Neutral,Male,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-43-32.jpg,2025-05-04 20:43:32.576402,user_1,Neutral,Female,(25-32)
Angry_Male_(25-32)_2025-05-04_20-43-32.jpg,2025-05-04 20:43:32.813974,user_1,Angry,Male,(25-32)
Happy_Male_(25-32)_2025-05-04_20-43-33.jpg,2025-05-04 20:43:33.023689,user_1,Happy,Male,(25-32)
Happy_Male_(25-32)_2025-05-04_20-43-33.jpg,2025-05-04 20:43:33.217970,user_1,Happy,Male,(25-32)
Angry_Male_(25-32)_2025-05-04_20-43-33.jpg,2025-05-04 20:43:33.384074,user_1,Angry,Male,(25-32)
Happy_Male_(25-32)_2025-05-04_20-43-33.jpg,2025-05-04 20:43:33.602344,user_1,Happy,Male,(25-32)
Happy_Male_(25-32)_2025-05-04_20-43-33.jpg,2025-05-04 20:43:33.819641,user_1,Happy,Male,(25-32)
Happy_Male_(25-32)_2025-05-04_20-43-34.jpg,2025-05-04 20:43:34.002973,user_1,Happy,Male,(25-32)
Happy_Male_(48-53)_2025-05-04_20-43-34.jpg,2025-05-04 20:43:34.208213,user_1,Happy,Male,(48-53)
Angry_Male_(25-32)_2025-05-04_20-43-34.jpg,2025-05-04 20:43:34.406587,user_1,Angry,Male,(25-32)
Surprise_Male_(25-32)_2025-05-04_20-43-34.jpg,2025-05-04 20:43:34.625464,user_1,Surprise,Male,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-34.jpg,2025-05-04 20:43:34.828744,user_1,Angry,Female,(25-32)
Sad_Male_(48-53)_2025-05-04_20-43-35.jpg,2025-05-04 20:43:35.024445,user_1,Sad,Male,(48-53)
Fear_Male_(25-32)_2025-05-04_20-43-35.jpg,2025-05-04 20:43:35.235816,user_1,Fear,Male,(25-32)
Angry_Female_(48-53)_2025-05-04_20-43-35.jpg,2025-05-04 20:43:35.434893,user_1,Angry,Female,(48-53)
Neutral_Female_(25-32)_2025-05-04_20-43-35.jpg,2025-05-04 20:43:35.621689,user_1,Neutral,Female,(25-32)
Happy_Female_(15-20)_2025-05-04_20-43-35.jpg,2025-05-04 20:43:35.811284,user_1,Happy,Female,(15-20)
Sad_Female_(8-12)_2025-05-04_20-43-35.jpg,2025-05-04 20:43:35.998059,user_1,Sad,Female,(8-12)
Happy_Female_(25-32)_2025-05-04_20-43-36.jpg,2025-05-04 20:43:36.188081,user_1,Happy,Female,(25-32)
Sad_Female_(25-32)_2025-05-04_20-43-36.jpg,2025-05-04 20:43:36.372506,user_1,Sad,Female,(25-32)
Sad_Female_(25-32)_2025-05-04_20-43-36.jpg,2025-05-04 20:43:36.567067,user_1,Sad,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-36.jpg,2025-05-04 20:43:36.761836,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-36.jpg,2025-05-04 20:43:36.941604,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-37.jpg,2025-05-04 20:43:37.144191,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-37.jpg,2025-05-04 20:43:37.346604,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-37.jpg,2025-05-04 20:43:37.510451,user_1,Angry,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-43-37.jpg,2025-05-04 20:43:37.714377,user_1,Angry,Female,(25-32)
